Sữa bột lên men;67;14.89g
Sữa bột bổ sung vitamin;81;18g
Sữa bột dành cho phụ nữ mang thai và cho con bú;69;15.33g
Sữa tươi;152;33.78g
Sữa đậu nành;136;30.22g
Sữa đậu nành cacao;210;46.67g
Sữa chua;137;30.44g
Sữa chua uống;134;29.78g
Sữa đặc có đường;88;19.56g
Phô mai;67;17.5g
Bột ngũ cốc;402;100g
Bột sữa dinh dưỡng;400;100g
Cocktail trái cây;158;35.11g
Sinh tố;277;61.56g
Vải đóng hộp;129;215g
Chôm chôm đóng hộp;138;230g
Kem que;86;14.11g
Kem Cornetto;202;44.89g
Kem hộp;381;84.67g
Thạch;14;16g
Cà phê đen;40;8.89g
Cà phê sữa;85;20g
Nước cam vắt;226;50.22g
Nước chanh;149;33.11g
Nước dừa tươi;94;20.89g
Nước dừa tươi;128;28.44g
Nước mía;106;23.56g
Nước sâm;74;16.44g
Nước rau má;174;38.67g
Nước ép trái cây đóng hộp;74;16.44g
Bia;141;31.33g
Nước ngọt;146;32.44g
Paté gan;259;100g
Paté thịt heo;326;100g
Thịt bò đóng hộp;120;48g
Thịt heo đóng hộp;131;38g
Cá sốt cà;157;170g
Nem;33;24g
Dăm bông;80;25g
Xúc xích tiệt trùng;69;40g
Chả chiên;416;100g
Chả quế;416;100g
Chả lụa;136;100g
Chả thủ;553;100g
Khô bò tẩm gia vị;135;40g
Khô mực tẩm gia vị;28;10g
Khô mực;73;25g
Chà bông cá;330;100g
Chà bông thịt gà;409;100g
Chà bông thịt heo;396;100g
Bơ vỏ xanh;184;128g
Bơ vỏ tím;135;182g
Bưởi;8;26g
Cam đường;68;184g
Cam Mỹ;90;242g
Cam sành;93;250g
Chôm chôm;14;20g
Khế;9;61g
Chuối bom;47;71g
Chuối cau;25;38g
Chuối chà;36;54g
Chuối già;74;76g
Chuối sáp;34;52g
Chuối xiêm;54;82g
Cóc;34;58g
Củ sắn;52;185g
Dâu tây;11;25g
Dưa hấu;21;130g
Thơm;17;60g
Đu đủ;125;360g
Lê đường;91;202g
Lòng mứt;55;115g
Hồng dòn;23;61g
Hồng đỏ;25;90g
Mận;11;70g
Mận Đà Lạt;5;25g
Măng cụt;13;20g
Mãng cầu ta;56;87g
Mãng cầu xiêm;40;80g
Mía;76;193g
Mít nghệ;11;18g
Mít tố nữ;10;16g
Nhãn;4;8g
Nhãn hột tiêu;2;3.8g
Nho Mỹ;68;15.11g
Nho ta;14;100g
Ổi;53;160g
Quýt;28;74g
Sầu riêng;28;28g
Xoài;179;259g
Táo tây;107;228g
Táo ta;9;25g
Thanh long;225;563g
Vú sữa;83;197g
Sơ ri;14;100g
Vải;9;21g
Chuối khô;42;14.5g
Nho khô;158;50g
Chuối sấy;250;50g
Mít sấy;106;25g
Bắp luộc;192;115g
Bắp nướng;272;60.44g
Bắp xào;317;108g
Hạt điều;291;108g
Đậu phộng da cá;270;108g
Đậu phộng nấu;395;87.78g
Đậu phộng rang;573;108g
Đậu phộng chiên muối;618;108g
Hạt bí rang;210;108g
Hạt dưa hấu rang;110;108g
Khoai lang;131;29.11g
Khoai mì;137;30.44g
Khoai môn;57;12.67g
Khoai từ;98;21.78g
Khoai lang chiên;325;100g
Khoai tây chiên;131;108g
Bơ;756;100g
Bơ đậu phộng;600;100g
Bột cacao;405;100g
Sữa bột toàn phần;494;100g
Dầu;897;100g
Mỡ heo nước;896;100g
Mỡ heo đặc;896;100g
Mỡ heo đặc;896;100g
Đường cát;383;100g
Muối;0;100g
Nước tương;40;100g
Nước mắm;21;100g
Sữa có đường;336;100g
Tương ớt;37;100g
Tương xay;86;100g
Rau (dùng với hủ tíu. mì. hoành thánh);26;108g
Rau (dùng với phở);26;108g
Rau (dùng với bún bò huế. bún măng. bún mọc. mì quảng. miến gà);36;108g
Rau (dùng với bún mắm);23;108g
Rau (dùng với hủ tiếu bò kho);18;108g
Rau (dùng với bánh xèo);53;108g
Rau (dùng với bò cuốn lá lốt. bò cuốn mỡ chài);79;108g
